Estado civil,Nacionalidade,Migração,Gênero,Idade na matrícula,Estrangeiro,Qualificação da mãe,Qualificação do pai,Ocupação da mãe,Ocupação do pai,Necessidades educacionais especiais,Devedor,Taxas de matrícula em dia,Bolsista,Taxa de desemprego,Taxa de inflação,PIB,Modo de inscrição,Ordem de inscrição,Curso,Frequência diurna/noturna   ,Qualificação prévia,disciplinas 1º semestre (creditadas),disciplinas 1º semestre (matriculadas),disciplinas 1º semestre (avaliações),disciplinas 1º semestre (aprovadas),disciplinas 1º semestre (nota),disciplinas 1º semestre (sem avaliações),disciplinas 2º semestre (creditadas),disciplinas 2º semestre (matriculadas),disciplinas 2º semestre (avaliações),disciplinas 2º semestre (aprovadas),disciplinas 2º semestre (nota),disciplinas 2º semestre (sem avaliações),Situação
1,1,1,0,18,0,38,19,5,7,0,0,1,0,13.9,-0.3,0.79,1,1,9670,1,1,0,6,6,6,12.333.333.333.333.300,0,0,6,7,5,14.2,0,Graduado
1,1,1,0,18,0,19,38,9,9,0,0,1,1,12.7,3.7,-1.7,1,1,9500,1,1,0,8,8,7,13.214.285.714.285.700,0,0,8,8,7,13.214.285.714.285.700,0,Graduado
1,1,1,0,19,0,19,37,4,9,0,0,1,0,12.7,3.7,-1.7,1,2,9853,1,1,0,6,6,0,0.0,0,0,6,0,0,0.0,0,Desistente
1,1,1,0,21,0,1,1,4,7,0,0,1,1,8.9,1.4,3.51,53,1,9254,1,42,0,6,7,6,10.571.428.571.428.500,0,0,6,8,5,11.0,0,Graduado
1,1,1,0,18,0,38,37,5,5,0,0,1,1,10.8,1.4,1.74,1,1,9085,1,1,0,5,7,4,13.25,0,0,5,5,5,12.0,0,Graduado
1,1,1,0,20,0,19,37,9,3,0,0,1,0,15.5,2.8,-4.06,1,1,9773,1,1,0,6,6,5,13.2,0,0,6,7,0,0.0,0,Desistente
1,1,1,0,18,0,19,38,5,8,0,0,1,0,10.8,1.4,1.74,18,1,9238,1,1,0,6,10,1,12.0,0,0,6,14,2,11.0,0,Matriculado
1,1,1,0,18,0,19,1,5,4,0,0,1,0,15.5,2.8,-4.06,17,2,9500,1,1,0,7,8,7,1.330.625,0,0,8,8,8,14.545,0,Graduado
1,1,1,0,20,0,3,19,3,5,0,0,1,0,10.8,1.4,1.74,1,1,9130,1,1,0,5,8,4,12.5,1,0,5,8,4,12.25,2,Graduado
1,1,1,0,18,0,19,19,7,7,0,0,1,0,16.2,0.3,-0.92,1,1,9853,1,1,0,7,7,6,11.666.666.666.666.600,0,0,7,8,6,13.5,0,Matriculado
1,1,0,0,21,0,1,1,9,8,0,0,1,1,11.1,0.6,02.02,1,3,171,1,1,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Graduado
1,1,1,0,20,0,1,38,4,7,0,0,1,0,12.7,3.7,-1.7,18,4,9556,1,1,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,Matriculado
1,1,1,0,18,0,19,19,1,1,0,0,1,0,12.7,3.7,-1.7,1,4,9500,1,1,0,8,12,7,12.857.142.857.142.800,0,0,8,12,7,12.857.142.857.142.800,0,Graduado
1,1,1,0,19,0,1,38,4,7,0,0,1,1,11.1,0.6,02.02,1,4,9670,1,1,0,6,8,6,13.375,0,0,6,7,6,12.285.714.285.714.200,0,Graduado
1,1,0,0,19,0,19,19,3,7,0,0,1,0,11.1,0.6,02.02,1,1,9500,1,1,0,7,8,6,13.296.666.666.666.600,0,0,8,9,7,14.114.285.714.285.700,0,Graduado
1,1,1,0,18,0,19,38,9,9,0,1,1,1,7.6,2.6,0.32,1,1,9238,1,1,0,6,8,5,11.6,0,0,6,12,4,11.0,0,Matriculado
1,1,1,0,21,0,19,38,7,8,0,0,1,0,16.2,0.3,-0.92,17,2,9238,1,1,0,6,9,6,11.375,0,0,6,9,6,13.285.714.285.714.200,0,Graduado
1,1,1,0,18,0,19,19,3,3,0,0,1,0,9.4,-0.8,-3.12,1,1,9085,1,1,0,5,9,5,12.666.666.666.666.600,2,0,5,7,4,13.0,0,Matriculado
1,1,1,0,20,0,19,1,9,9,0,0,1,0,16.2,0.3,-0.92,1,1,9147,1,1,0,5,6,5,12.0,0,0,5,6,5,12.333.333.333.333.300,0,Graduado
1,1,1,1,19,0,3,3,1,10,0,0,1,0,16.2,0.3,-0.92,17,2,9500,1,1,0,7,9,6,12.933.333.333.333.300,0,0,7,7,6,13.716.666.666.666.600,0,Matriculado
1,1,0,1,21,0,4,5,4,2,0,0,1,0,16.2,0.3,-0.92,44,1,9003,1,39,0,6,15,5,11.857.142.857.142.800,0,0,6,17,5,10.571.428.571.428.500,0,Matriculado
1,1,1,1,20,0,42,3,125,124,0,0,1,0,8.9,1.4,3.51,51,1,9070,1,1,2,6,7,6,12.833.333.333.333.300,0,0,6,9,4,13.4,0,Graduado
1,1,0,1,18,0,1,1,4,6,0,0,0,0,8.9,1.4,3.51,1,1,9147,1,1,0,5,9,3,11.333.333.333.333.300,0,0,5,8,2,13.5,0,Matriculado
1,1,1,0,19,0,19,1,9,5,0,0,1,0,12.4,0.5,1.79,18,1,8014,0,1,0,6,6,6,12.666.666.666.666.600,0,0,6,8,6,14.375,0,Graduado
1,1,0,1,34,0,2,37,3,9,0,0,1,0,13.9,-0.3,0.79,1,1,9991,0,1,0,5,6,5,12.4,0,0,5,9,5,13.428.571.428.571.400,0,Graduado
1,1,0,1,37,0,38,37,9,6,0,1,0,0,8.9,1.4,3.51,39,1,33,1,1,0,7,7,0,0.0,0,0,7,7,1,10.0,0,Desistente
1,1,1,1,43,0,34,37,0,0,0,0,1,0,7.6,2.6,0.32,39,1,9119,1,10,0,5,0,0,0.0,0,0,5,0,0,0.0,0,Desistente
1,1,0,0,55,0,37,37,6,6,0,0,1,0,16.2,0.3,-0.92,43,1,9147,1,1,0,5,10,1,10.0,0,0,5,8,2,12.0,2,Desistente
4,1,1,0,39,0,19,19,9,3,0,0,1,0,7.6,2.6,0.32,39,1,9991,0,1,0,5,8,5,11.0,0,0,5,5,5,11.6,0,Graduado
1,6,0,0,20,1,4,4,3,6,0,1,0,0,12.4,0.5,1.79,44,1,9130,1,39,2,6,13,3,11.666.666.666.666.600,0,1,6,11,3,12.0,0,Desistente
1,1,0,0,18,0,3,3,2,2,0,1,1,0,12.7,3.7,-1.7,1,5,9773,1,1,0,6,6,4,12.75,0,0,5,5,0,0.0,0,Desistente
1,1,1,0,22,0,3,19,2,7,0,0,1,0,8.9,1.4,3.51,1,2,9147,1,1,0,5,5,5,14.8,0,0,5,5,5,15.8,0,Graduado
1,1,1,0,22,0,1,3,2,2,1,0,1,0,11.1,0.6,02.02,1,6,9500,1,1,0,7,9,5,13.928,0,0,8,9,7,14.342.857.142.857.100,0,Graduado
1,1,0,0,20,0,1,38,5,5,0,0,0,0,12.4,0.5,1.79,17,1,9773,1,1,0,6,7,4,13.0,0,0,6,7,5,13.8,0,Desistente
1,1,0,0,29,0,37,37,9,9,0,0,1,0,16.2,0.3,-0.92,39,1,9991,0,1,0,5,0,0,0.0,0,0,5,0,0,0.0,0,Desistente
1,1,0,0,24,0,38,38,4,5,0,0,1,0,7.6,2.6,0.32,17,1,9991,0,1,0,5,9,2,11.5,0,0,5,11,3,14.333.333.333.333.300,1,Matriculado
1,1,1,0,18,0,19,19,9,9,0,0,1,0,11.1,0.6,02.02,17,2,9238,1,1,0,6,6,6,11.666.666.666.666.600,0,0,6,8,5,13.2,0,Graduado
1,1,1,0,22,0,37,19,7,7,0,0,1,1,11.1,0.6,02.02,17,6,9500,1,1,0,7,8,6,13.516.666.666.666.600,0,0,8,9,7,13.771.428.571.428.500,0,Graduado
1,1,0,0,21,0,1,19,9,9,0,0,1,1,12.4,0.5,1.79,44,1,8014,0,39,3,6,6,6,11.5,0,2,6,7,6,13.285.714.285.714.200,0,Graduado
1,1,0,0,19,0,37,38,9,9,0,0,1,1,12.7,3.7,-1.7,1,1,9238,1,1,0,6,7,5,12.333.333.333.333.300,0,0,6,7,6,12.833.333.333.333.300,0,Graduado
1,1,0,0,24,0,19,38,9,7,0,0,1,1,12.4,0.5,1.79,39,1,9254,1,1,0,6,6,6,13.666.666.666.666.600,0,0,6,6,6,14.166.666.666.666.600,0,Graduado
1,1,1,0,19,0,37,38,6,6,0,0,1,1,9.4,-0.8,-3.12,1,1,9500,1,1,0,8,10,6,11.833.333.333.333.300,0,0,8,10,6,11.833.333.333.333.300,0,Matriculado
1,1,1,0,20,0,1,19,7,7,0,0,1,1,9.4,-0.8,-3.12,1,1,9773,1,1,0,6,11,4,14.0,0,0,6,12,3,11.0,0,Matriculado
1,1,0,0,19,0,37,37,90,90,0,0,1,0,7.6,2.6,0.32,1,3,9130,1,1,0,5,7,5,14.714.285.714.285.700,0,0,5,5,5,15.8,0,Graduado
1,1,0,0,27,0,38,38,9,9,0,0,1,0,9.4,-0.8,-3.12,39,1,9991,0,1,0,5,12,5,10.6,0,0,5,10,5,11.0,0,Desistente
1,1,1,0,18,0,1,19,5,5,0,0,1,0,15.5,2.8,-4.06,1,1,9500,1,1,0,7,9,7,13.044.444.444.444.400,0,0,8,10,8,13.595,0,Graduado
2,1,0,0,39,0,1,3,4,3,0,0,1,0,12.4,0.5,1.79,7,1,9254,1,3,0,6,10,0,0.0,0,0,6,6,0,0.0,0,Desistente
1,1,1,0,27,0,3,3,2,2,0,0,1,0,12.4,0.5,1.79,39,1,9130,1,40,0,6,9,5,13.0,0,5,11,13,10,12.9,0,Desistente
1,1,1,0,18,0,38,38,7,10,0,0,1,0,9.4,-0.8,-3.12,17,1,9500,1,1,0,8,8,8,14.935,0,0,8,8,8,14.935,0,Graduado
1,1,1,0,18,0,38,37,4,9,0,0,1,0,7.6,2.6,0.32,1,3,171,1,1,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Matriculado
1,1,0,0,18,0,19,19,9,9,0,0,1,0,16.2,0.3,-0.92,1,2,9500,1,1,0,7,8,6,13.133.333.333.333.300,0,0,8,12,7,12.221.428.571.428.500,0,Graduado
1,1,0,0,21,0,19,1,9,9,0,0,1,1,13.9,-0.3,0.79,44,1,9238,1,39,3,6,7,6,12.0,0,2,6,7,6,12.0,0,Graduado
1,1,1,1,19,0,1,37,4,7,0,0,1,1,10.8,1.4,1.74,17,3,171,1,1,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Matriculado
1,1,1,1,19,0,1,1,3,4,0,0,1,0,10.8,1.4,1.74,17,1,9070,1,1,0,6,6,5,11.4,0,0,6,8,1,10.0,0,Matriculado
1,1,0,1,24,0,1,1,3,3,0,0,1,0,12.7,3.7,-1.7,43,1,9070,1,1,0,6,6,0,0.0,0,0,6,6,0,0.0,0,Matriculado
4,1,1,1,29,0,1,1,5,5,0,0,1,0,13.9,-0.3,0.79,42,1,9500,1,19,2,7,10,5,11.9,0,1,8,10,5,11.0,0,Desistente
1,1,1,1,19,0,19,19,5,3,0,0,1,1,10.8,1.4,1.74,1,3,171,1,1,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Graduado
1,1,1,1,23,0,19,37,9,9,0,0,1,0,8.9,1.4,3.51,44,1,9003,1,39,0,6,8,6,12.571.428.571.428.500,0,0,6,7,6,12.428.571.428.571.400,0,Graduado
1,1,0,1,19,0,1,38,7,7,0,1,1,0,16.2,0.3,-0.92,1,3,9147,1,1,0,5,8,5,11.2,0,0,5,10,4,10.75,3,Desistente
1,1,0,1,26,0,19,37,7,10,0,0,1,0,12.7,3.7,-1.7,39,1,9254,1,1,0,6,7,6,12.0,0,0,6,8,5,10.8,0,Matriculado
1,1,0,1,18,0,38,37,5,5,0,0,1,0,7.6,2.6,0.32,17,1,9147,1,1,0,5,9,0,0.0,0,0,5,5,0,0.0,0,Matriculado
1,1,0,1,24,0,37,19,8,4,0,0,1,0,13.9,-0.3,0.79,17,1,9500,1,1,0,7,8,7,11.975,0,0,8,8,8,13.75,0,Graduado
1,1,1,1,19,0,19,19,5,10,0,0,1,0,15.5,2.8,-4.06,1,1,171,1,1,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Desistente
1,1,1,1,18,0,38,37,5,7,0,0,1,0,12.4,0.5,1.79,17,4,9254,1,1,0,6,12,3,11.666.666.666.666.600,0,0,6,12,1,12.0,0,Desistente
1,1,1,1,18,0,38,38,9,9,0,0,1,0,10.8,1.4,1.74,1,2,9773,1,1,0,6,8,6,12.333.333.333.333.300,0,0,6,11,3,12.333.333.333.333.300,0,Graduado
1,1,1,1,18,0,19,19,4,7,0,1,1,0,10.8,1.4,1.74,17,3,9147,1,1,0,5,8,3,10.333.333.333.333.300,0,0,5,11,3,10.857.142.857.142.800,0,Desistente
1,1,1,1,21,0,19,37,7,7,0,0,1,1,9.4,-0.8,-3.12,18,4,9254,1,1,0,6,8,4,10.5,0,0,6,11,1,11.0,0,Desistente
1,1,1,1,19,0,1,19,9,8,0,1,1,1,8.9,1.4,3.51,17,4,9773,1,1,0,6,6,6,13.666.666.666.666.600,0,0,6,6,6,13.333.333.333.333.300,0,Graduado
1,1,0,1,22,0,38,37,9,9,0,0,1,1,16.2,0.3,-0.92,17,4,9500,1,1,0,7,7,7,14.842.857.142.857.100,0,0,8,9,8,15.055.555.555.555.500,0,Graduado
2,1,0,1,33,0,37,37,9,6,0,0,1,0,10.8,1.4,1.74,39,1,8014,0,1,0,6,8,6,12.0,0,0,6,6,6,11.666.666.666.666.600,0,Graduado
1,1,1,1,20,0,19,19,9,9,0,0,1,0,10.8,1.4,1.74,1,6,9853,1,1,0,6,8,5,12.2,0,0,6,7,5,12.2,0,Desistente
1,1,1,1,35,0,3,3,2,2,0,0,1,0,10.8,1.4,1.74,39,1,9991,0,2,0,1,1,0,0.0,1,0,5,0,0,0.0,0,Desistente
1,1,0,1,24,0,3,3,4,2,0,1,1,0,12.4,0.5,1.79,39,1,9003,1,4,6,12,17,6,12.166.666.666.666.600,0,7,12,14,10,13.3,0,Desistente
1,1,0,1,18,0,19,19,4,4,0,0,1,0,12.7,3.7,-1.7,17,1,9254,1,1,0,5,6,5,12.0,0,0,5,8,3,11.333.333.333.333.300,0,Matriculado
2,1,1,0,33,0,37,37,9,6,0,0,1,0,9.4,-0.8,-3.12,39,1,8014,0,1,0,6,7,6,11.0,0,0,6,11,5,11.0,0,Graduado
1,1,1,0,22,0,37,38,9,7,0,0,1,1,10.8,1.4,1.74,42,1,9500,1,1,0,8,8,7,13.08,0,0,8,8,7,13.08,0,Graduado
1,1,0,0,25,0,1,19,4,5,0,0,1,1,9.4,-0.8,-3.12,39,1,9670,1,1,0,5,7,4,10.5,0,0,5,7,5,11.6,0,Graduado
1,1,1,1,20,0,19,38,4,0,0,0,1,0,7.6,2.6,0.32,17,1,9070,1,1,0,6,9,6,10.666.666.666.666.600,1,0,6,6,5,11.2,0,Graduado
1,1,1,1,23,0,38,37,9,9,0,0,1,0,11.1,0.6,02.02,1,6,9147,1,1,0,5,6,4,14.0,0,0,5,5,5,13.8,0,Matriculado
1,1,1,1,18,0,38,19,9,6,0,1,1,0,15.5,2.8,-4.06,43,2,9119,1,1,0,5,9,2,10.0,0,0,5,9,0,0.0,0,Matriculado
1,1,0,1,24,0,1,1,4,10,0,0,1,0,13.9,-0.3,0.79,39,1,9500,1,1,0,7,18,0,0.0,0,0,7,7,0,0.0,0,Desistente
1,41,1,0,21,1,19,1,9,9,0,0,0,0,8.9,1.4,3.51,17,2,9773,1,1,0,6,6,6,14.0,0,0,6,6,6,13.5,0,Graduado
1,41,0,0,26,1,1,1,4,4,0,0,1,0,8.9,1.4,3.51,15,1,9130,1,1,0,6,7,2,12.0,1,0,6,6,0,0.0,0,Desistente
2,1,0,0,39,0,37,34,0,0,0,0,1,0,7.6,2.6,0.32,39,1,9853,1,10,0,6,12,3,12.666.666.666.666.600,0,0,6,14,0,0.0,1,Desistente
2,1,0,0,44,0,37,19,9,9,0,0,1,0,12.7,3.7,-1.7,39,1,8014,0,1,2,8,11,8,11.875,0,0,6,7,6,12.333.333.333.333.300,0,Graduado
1,26,1,1,19,1,38,3,9,2,0,0,1,0,13.9,-0.3,0.79,15,1,9119,1,1,0,5,9,5,14.0,0,0,5,11,3,13.25,0,Matriculado
1,1,1,0,18,0,37,1,5,5,0,0,1,0,8.9,1.4,3.51,1,5,9773,1,1,0,6,6,6,13.666.666.666.666.600,0,0,6,6,6,13.333.333.333.333.300,0,Graduado
1,1,1,0,18,0,37,37,7,7,0,0,1,1,12.4,0.5,1.79,1,5,9500,1,1,0,7,7,7,13.75,0,0,8,9,8,1.447.777.777.777.770,0,Graduado
1,1,1,0,19,0,1,2,9,1,0,0,1,0,12.7,3.7,-1.7,1,1,9085,1,1,0,5,7,5,14.2,2,0,5,7,5,13.8,0,Matriculado
1,1,1,0,19,0,3,3,2,2,0,1,0,0,13.9,-0.3,0.79,1,4,9500,1,1,0,7,10,4,11.96,0,0,7,7,0,0.0,0,Desistente
1,1,0,0,21,0,38,38,9,9,0,0,1,0,8.9,1.4,3.51,53,1,9085,1,42,7,10,12,8,12.875,0,4,9,14,5,13.4,0,Desistente
1,1,1,0,20,0,1,1,9,10,0,0,1,0,16.2,0.3,-0.92,1,4,171,1,1,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Graduado
2,1,1,0,36,0,37,37,6,5,0,0,1,0,9.4,-0.8,-3.12,39,1,8014,0,1,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Desistente
4,1,0,0,43,0,37,37,9,6,0,0,1,0,15.5,2.8,-4.06,39,1,9003,1,12,13,18,19,18,1.463.157.894.736.840,0,10,13,14,13,1.423.076.923.076.920,1,Graduado
1,1,1,0,19,0,19,19,9,7,0,0,1,0,11.1,0.6,02.02,18,1,9853,1,1,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Desistente
1,1,0,0,20,0,3,1,2,8,0,1,1,0,11.1,0.6,02.02,51,1,9070,1,1,4,10,12,10,13.0,0,5,11,11,11,12.272.727.272.727.200,0,Graduado
1,1,1,0,19,0,37,38,4,7,0,0,1,0,16.2,0.3,-0.92,1,2,9238,1,1,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Desistente
1,1,1,0,20,0,1,1,4,4,0,0,1,0,15.5,2.8,-4.06,1,1,9085,1,1,0,6,15,4,14.2,0,0,6,17,4,13.25,0,Desistente
1,1,1,0,20,0,3,4,4,3,0,0,1,0,12.4,0.5,1.79,1,5,9500,1,1,2,7,9,6,13.266.666.666.666.600,0,0,7,10,5,12.3,0,Desistente
1,1,1,0,20,0,19,1,9,3,0,0,1,0,16.2,0.3,-0.92,17,2,9853,1,1,0,7,12,6,11.666.666.666.666.600,0,0,7,10,3,13.0,0,Matriculado
1,1,1,0,18,0,37,37,6,7,0,0,1,0,13.9,-0.3,0.79,1,1,9238,1,1,0,6,8,6,13.857.142.857.142.800,0,0,6,6,6,15.0,0,Graduado
1,1,1,0,18,0,1,38,4,7,0,0,1,1,8.9,1.4,3.51,17,2,9147,1,1,0,5,9,3,13.0,0,0,5,11,3,11.0,0,Matriculado
1,1,1,0,19,0,19,19,9,9,0,0,1,0,10.8,1.4,1.74,1,1,9085,1,1,0,5,6,5,13.4,0,0,5,5,5,12.8,0,Graduado
1,1,1,0,18,0,1,38,4,7,0,0,1,0,10.8,1.4,1.74,1,3,9773,1,1,0,6,6,6,12.666.666.666.666.600,0,0,6,7,6,12.571.428.571.428.500,0,Graduado
1,1,1,0,18,0,37,37,9,9,0,0,1,0,7.6,2.6,0.32,17,2,9500,1,1,0,7,7,6,12.516.666.666.666.600,1,0,7,7,6,12.516.666.666.666.600,1,Desistente
1,1,0,0,20,0,38,38,9,5,0,0,1,0,13.9,-0.3,0.79,43,1,9500,1,1,0,7,11,6,11.616.666.666.666.600,0,0,7,7,7,13.0,0,Matriculado
1,1,1,0,20,0,19,37,9,7,0,0,1,1,7.6,2.6,0.32,17,1,9238,1,1,0,6,13,2,10.0,0,0,6,12,4,10.75,0,Matriculado
1,1,0,0,20,0,19,19,3,3,0,0,1,0,12.4,0.5,1.79,17,1,9147,1,1,0,5,11,3,10.333.333.333.333.300,0,0,5,10,3,10.666.666.666.666.600,0,Matriculado
1,1,0,0,18,0,37,38,9,7,0,0,1,0,9.4,-0.8,-3.12,1,2,9085,1,1,0,5,12,5,13.142.857.142.857.100,2,0,5,6,5,11.4,0,Graduado
1,1,0,0,18,0,2,19,4,5,0,0,1,0,11.1,0.6,02.02,1,1,9147,1,1,0,5,5,5,12.6,0,0,5,5,5,14.0,0,Graduado
1,1,1,0,21,0,1,1,4,5,0,0,1,0,9.4,-0.8,-3.12,17,1,9254,1,1,0,6,12,3,11.0,0,0,6,12,2,11.0,0,Desistente
1,1,1,0,19,0,19,19,9,7,0,0,1,0,16.2,0.3,-0.92,1,2,9147,1,1,0,5,8,5,10.8,0,0,5,9,4,11.25,2,Graduado
1,1,0,0,19,0,3,19,2,9,0,0,1,0,10.8,1.4,1.74,1,1,171,1,1,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Desistente
1,1,0,0,19,0,38,38,9,9,0,0,1,1,9.4,-0.8,-3.12,1,1,9670,1,1,0,5,5,5,12.8,0,0,5,5,5,14.2,0,Graduado
1,1,1,0,19,0,19,38,4,7,0,0,1,0,15.5,2.8,-4.06,1,1,9085,1,1,0,6,15,6,14.166.666.666.666.600,0,0,6,13,6,12.2,0,Graduado
1,1,1,0,19,0,1,1,4,5,0,0,1,0,13.9,-0.3,0.79,17,6,9556,1,1,0,7,12,5,12.1,0,0,7,0,0,0.0,0,Desistente
1,1,1,0,20,0,37,37,9,9,0,0,1,0,12.4,0.5,1.79,44,1,9085,1,39,1,6,7,6,14.166.666.666.666.600,0,1,6,17,5,1.377.777.777.777.770,0,Graduado
1,1,1,0,18,0,19,38,9,3,0,0,1,1,9.4,-0.8,-3.12,1,1,9853,1,1,0,6,8,5,12.8,0,0,6,7,5,13.4,0,Matriculado
1,1,1,0,18,0,1,39,5,3,0,0,1,0,12.4,0.5,1.79,17,3,9238,1,1,0,6,7,6,13.0,0,0,6,6,6,13.666.666.666.666.600,0,Graduado
1,1,1,0,19,0,1,37,8,9,0,0,1,0,12.4,0.5,1.79,17,6,9500,1,1,0,7,7,7,13.467.142.857.142.800,0,0,8,9,8,15.011.111.111.111.100,0,Graduado
1,1,1,0,18,0,19,19,5,8,0,0,1,1,13.9,-0.3,0.79,1,3,9500,1,1,0,7,9,7,132.375,0,0,8,9,7,13.742.857.142.857.100,0,Desistente
1,1,1,0,18,0,37,37,9,9,0,0,1,0,7.6,2.6,0.32,17,2,9070,1,1,0,6,6,6,12.333.333.333.333.300,0,0,6,6,6,13.0,0,Graduado
1,1,1,0,19,0,1,19,4,8,0,0,1,0,8.9,1.4,3.51,1,4,9147,1,1,0,5,7,5,12.4,0,0,5,5,5,14.6,0,Graduado
1,1,1,0,19,0,1,19,3,3,0,0,1,0,13.9,-0.3,0.79,17,6,9500,1,1,0,7,8,5,14.0,0,0,7,7,0,0.0,0,Desistente
1,1,0,0,20,0,38,37,9,7,0,0,1,0,7.6,2.6,0.32,43,1,9238,1,1,5,9,15,9,11.666.666.666.666.600,0,2,7,8,7,11.714.285.714.285.700,0,Graduado
1,1,0,0,19,0,1,38,3,9,0,1,0,1,12.4,0.5,1.79,1,1,9670,1,1,0,6,7,5,12.0,0,0,6,9,4,12.5,0,Desistente
1,1,1,0,20,0,19,19,5,5,0,0,1,0,7.6,2.6,0.32,17,1,9670,1,1,0,5,7,4,12.2,0,0,5,5,4,11.5,0,Graduado
1,1,0,0,18,0,1,1,141,175,0,1,1,1,8.9,1.4,3.51,1,1,9773,1,1,0,6,6,6,14.833.333.333.333.300,0,0,6,6,6,14.833.333.333.333.300,0,Graduado
1,1,0,0,20,0,19,1,4,7,0,0,1,1,11.1,0.6,02.02,1,2,9500,1,1,0,7,9,5,13.188,0,0,8,9,7,12.892.857.142.857.100,0,Matriculado
1,1,0,0,18,0,19,1,4,8,0,0,1,0,13.9,-0.3,0.79,18,1,9500,1,1,0,7,8,7,17.125,0,0,8,8,8,175.875,0,Graduado
1,1,1,0,19,0,37,37,9,9,0,0,1,0,7.6,2.6,0.32,1,5,9500,1,1,0,7,7,6,12.666.666.666.666.600,0,0,7,7,6,12.666.666.666.666.600,0,Graduado
1,1,1,0,19,0,19,1,4,4,0,0,1,1,12.4,0.5,1.79,1,6,9773,1,1,0,6,8,6,12.666.666.666.666.600,0,0,6,10,5,12.0,0,Graduado
1,1,1,0,22,0,3,1,3,3,0,1,0,0,8.9,1.4,3.51,51,1,9147,1,1,0,5,8,0,0.0,0,0,5,7,0,0.0,0,Matriculado
1,1,1,0,19,0,1,12,9,10,0,0,1,1,12.4,0.5,1.79,1,3,9238,1,1,0,6,7,6,11.333.333.333.333.300,0,0,6,6,6,11.5,0,Graduado
1,1,1,0,19,0,19,19,9,7,0,0,1,1,15.5,2.8,-4.06,1,3,9500,1,1,0,7,10,7,13.605,0,0,8,11,8,1.233.125,0,Graduado
1,1,1,0,19,0,37,38,5,6,0,0,1,1,9.4,-0.8,-3.12,17,5,9853,1,1,0,6,10,5,12.0,0,0,6,9,5,10.8,0,Graduado
