Estado civil,Nacionalidade,Migração,Sexo,Idade na matrícula,Estrangeiro,Qualificação da mãe,Qualificação do pai,Ocupação da mãe,Ocupação do pai,Necessidades educacionais especiais,Devedor,Taxas de matrícula em dia,Bolsista,Taxa de desemprego,Taxa de inflação,PIB,Modo de inscrição,Ordem de inscrição,Curso,Período,Qualificação prévia,disciplinas 1º semestre (creditadas),disciplinas 1º semestre (matriculadas),disciplinas 1º semestre (avaliações),disciplinas 1º semestre (aprovadas),disciplinas 1º semestre (notas),disciplinas 1º semestre (sem avaliações),disciplinas 2º semestre (creditadas),disciplinas 2º semestre (matriculadas),disciplinas 2º semestre (avaliações),disciplinas 2º semestre (aprovadas),disciplinas 2º semestre (notas),disciplinas 2º semestre (sem avaliações),Target
Solteiro,Portuguesa,Sim,Feminino,21,Não,Educação Secundária,Educação Secundária,Funcionários Administrativos,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,8.9,1.4,3.51,53,1,Turismo,Diurno,Curso técnico superior profissional,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Sim,10.8,1.4,1.74,1,1,Enfermagem Veterinária,Diurno,Educação secundária,0,5,7,4,13.25,0,0,5,5,5,12.0,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,20,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Técnicos de Nível Intermediário e Profissões,Não,Não,Sim,Não,15.5,2.8,-4.06,1,1,Jornalismo e Comunicação,Diurno,Educação secundária,0,6,6,5,13.2,0,0,6,7,0,0.0,0,Desistente
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores",Operadores de Instalações e Máquinas e Trabalhadores de Montagem,Não,Não,Sim,Não,10.8,1.4,1.74,18,1,Serviço Social,Diurno,Educação secundária,0,6,10,1,12.0,0,0,6,14,2,11.0,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Secundária,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores",Pessoal Administrativo,Não,Não,Sim,Não,15.5,2.8,-4.06,17,2,Enfermagem,Diurno,Educação secundária,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,20,Não,Educação Superior - Bacharel,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Técnicos de Nível Intermediário e Profissões Técnicas,"Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Não,10.8,1.4,1.74,1,1,Zootecnia,Diurno,Educação secundária,0,5,8,4,12.5,1,0,5,8,4,12.25,2,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,"Trabalhadores Qualificados na Indústria, Construção e Artesãos","Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Não,16.2,0.3,-0.92,1,1,Educação Básica,Diurno,Educação secundária,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,Matriculado
Solteiro,Portuguesa,Não,Feminino,21,Não,Educação Secundária,Educação Secundária,Trabalhadores Não Qualificados,Operadores de Instalações e Máquinas e Trabalhadores de Montagem,Não,Não,Sim,Sim,11.1,0.6,2.02,1,3,Animação e Design Multimídia,Diurno,Educação secundária,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,20,Não,Educação Secundária,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Funcionários Administrativos,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Não,12.7,3.7,-1.7,18,4,Odontologia,Diurno,Educação secundária,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,"Representantes do Poder Legislativo e Órgãos Executivos, Diretores, Gestores e Executivos","Representantes do Poder Legislativo e Órgãos Executivos, Diretores, Gestores e Gerentes Executivos",Não,Não,Sim,Não,12.7,3.7,-1.7,1,4,Enfermagem,Diurno,Educação secundária,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação Secundária,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Funcionários Administrativos,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,11.1,0.6,2.02,1,4,Gestão de Publicidade e Marketing,Diurno,Educação secundária,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,Graduado
Solteiro,Portuguesa,Não,Feminino,19,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Técnicos de Nível Intermediário e Profissões Técnicas,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Não,11.1,0.6,2.02,1,1,Enfermagem,Diurno,Educação secundária,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Sim,Sim,Sim,7.6,2.6,0.32,1,1,Serviço Social,Diurno,Educação secundária,0,6,8,5,11.6,0,0,6,12,4,11.0,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,21,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,"Trabalhadores Qualificados na Indústria, Construção e Artesãos",Operadores de Instalações e Máquinas e Trabalhadores de Montagem,Não,Não,Sim,Não,16.2,0.3,-0.92,17,2,Serviço Social,Diurno,Educação secundária,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Técnicos de Nível Intermediário e Profissões Técnicas,Técnicos de Nível Intermediário e Profissões,Não,Não,Sim,Não,9.4,-0.8,-3.12,1,1,Enfermagem Veterinária,Diurno,Educação secundária,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,20,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Secundária,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Não,16.2,0.3,-0.92,1,1,Gestão,Diurno,Educação secundária,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,Graduado
Solteiro,Portuguesa,Sim,Masculino,19,Não,Educação Superior - Bacharel,Educação Superior - Bacharel,"Representantes do Poder Legislativo e Órgãos Executivos, Diretores, Gestores e Executivos",Profissões das Forças Armadas,Não,Não,Sim,Não,16.2,0.3,-0.92,17,2,Enfermagem,Diurno,Educação secundária,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,Matriculado
Solteiro,Portuguesa,Não,Masculino,21,Não,Educação Superior - Mestrado,Educação Superior - Doutorado,Funcionários Administrativos,Especialistas em Atividades Intelectuais e Científicas,Não,Não,Sim,Não,16.2,0.3,-0.92,44,1,Agronomia,Diurno,Curso de especialização tecnológica,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,Matriculado
Solteiro,Portuguesa,Sim,Masculino,20,Não,Curso técnico superior profissional,Educação Superior - Bacharel,Especialistas em Tecnologias da Informação e Comunicação (TIC),"Especialistas em finanças, contabilidade, organização administrativa, relações públicas e comerciais",Não,Não,Sim,Não,8.9,1.4,3.51,51,1,Design de Comunicação,Diurno,Educação secundária,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,Graduado
Solteiro,Portuguesa,Não,Masculino,18,Não,Educação Secundária,Educação Secundária,Funcionários Administrativos,"Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura",Não,Não,Não,Não,8.9,1.4,3.51,1,1,Gestão,Diurno,Educação secundária,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Secundária,Trabalhadores Não Qualificados,"Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Não,12.4,0.5,1.79,18,1,Serviço Social (noturno),Noturno,Educação secundária,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,Graduado
Solteiro,Portuguesa,Não,Masculino,34,Não,Educação Superior - Licenciatura,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Técnicos de Nível Intermediário e Profissões Técnicas,Trabalhadores Não Qualificados,Não,Não,Sim,Não,13.9,-0.3,0.79,1,1,Gestão (noturno),Noturno,Educação secundária,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,Graduado
Solteiro,Portuguesa,Não,Masculino,37,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,"Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura",Não,Sim,Não,Não,8.9,1.4,3.51,39,1,Tecnologias de Produção de Biocombustíveis,Diurno,Educação secundária,0,7,7,0,0.0,0,0,7,7,1,10.0,0,Desistente
Solteiro,Portuguesa,Sim,Masculino,43,Não,Desconhecido,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Estudante,Estudante,Não,Não,Sim,Não,7.6,2.6,0.32,39,1,Engenharia da computação,Diurno,11º ano de escolaridade - não concluído,0,5,0,0,0.0,0,0,5,0,0,0.0,0,Desistente
Solteiro,Portuguesa,Não,Feminino,55,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,"Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura","Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura",Não,Não,Sim,Não,16.2,0.3,-0.92,43,1,Gestão,Diurno,Educação secundária,0,5,10,1,10.0,0,0,5,8,2,12.0,2,Desistente
Divorciado,Portuguesa,Sim,Feminino,39,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Trabalhadores Não Qualificados,Técnicos de Nível Intermediário e Profissões,Não,Não,Sim,Não,7.6,2.6,0.32,39,1,Gestão (noturno),Noturno,Educação secundária,0,5,8,5,11.0,0,0,5,5,5,11.6,0,Graduado
Solteiro,Espanhola,Não,Feminino,20,Sim,Educação Superior - Mestrado,Educação Superior - Mestrado,Técnicos de Nível Intermediário e Profissões Técnicas,"Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura",Não,Sim,Não,Não,12.4,0.5,1.79,44,1,Zootecnia,Diurno,Curso de especialização tecnológica,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,Desistente
Solteiro,Portuguesa,Não,Feminino,18,Não,Educação Superior - Bacharel,Educação Superior - Bacharel,Especialistas em Atividades Intelectuais e Científicas,Especialistas em Atividades Intelectuais e Científicas,Não,Sim,Sim,Não,12.7,3.7,-1.7,1,5,Jornalismo e Comunicação,Diurno,Educação secundária,0,6,6,4,12.75,0,0,5,5,0,0.0,0,Desistente
Solteiro,Portuguesa,Sim,Feminino,22,Não,Educação Superior - Bacharel,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Especialistas em Atividades Intelectuais e Científicas,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Não,8.9,1.4,3.51,1,2,Gestão,Diurno,Educação secundária,0,5,5,5,14.8,0,0,5,5,5,15.8,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,22,Não,Educação Secundária,Educação Superior - Bacharel,Especialistas em Atividades Intelectuais e Científicas,Especialistas em Atividades Intelectuais e Científicas,Sim,Não,Sim,Não,11.1,0.6,2.02,1,6,Enfermagem,Diurno,Educação secundária,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,Graduado
Solteiro,Portuguesa,Não,Feminino,20,Não,Educação Secundária,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Não,Não,12.4,0.5,1.79,17,1,Jornalismo e Comunicação,Diurno,Educação secundária,0,6,7,4,13.0,0,0,6,7,5,13.8,0,Desistente
Solteiro,Portuguesa,Não,Feminino,29,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Não,16.2,0.3,-0.92,39,1,Gestão (noturno),Noturno,Educação secundária,0,5,0,0,0.0,0,0,5,0,0,0.0,0,Desistente
Solteiro,Portuguesa,Não,Feminino,24,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Funcionários Administrativos,"Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Não,7.6,2.6,0.32,17,1,Gestão (noturno),Noturno,Educação secundária,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,Matriculado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Não,11.1,0.6,2.02,17,2,Serviço Social,Diurno,Educação secundária,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,22,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,"Trabalhadores Qualificados na Indústria, Construção e Artesãos","Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,11.1,0.6,2.02,17,6,Enfermagem,Diurno,Educação secundária,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,Graduado
Solteiro,Portuguesa,Não,Feminino,21,Não,Educação Secundária,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Sim,12.4,0.5,1.79,44,1,Serviço Social (noturno),Noturno,Curso de especialização tecnológica,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,Graduado
Solteiro,Portuguesa,Não,Feminino,19,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Sim,12.7,3.7,-1.7,1,1,Serviço Social,Diurno,Educação secundária,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,Graduado
Solteiro,Portuguesa,Não,Feminino,24,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Trabalhadores Não Qualificados,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,12.4,0.5,1.79,39,1,Turismo,Diurno,Educação secundária,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,"Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura","Agricultores e Trabalhadores Qualificados na Agricultura, Pesca e Silvicultura",Não,Não,Sim,Sim,9.4,-0.8,-3.12,1,1,Enfermagem,Diurno,Educação secundária,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,Matriculado
Solteiro,Portuguesa,Sim,Feminino,20,Não,Educação Secundária,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,"Trabalhadores Qualificados na Indústria, Construção e Artesãos","Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,9.4,-0.8,-3.12,1,1,Jornalismo e Comunicação,Diurno,Educação secundária,0,6,11,4,14.0,0,0,6,12,3,11.0,0,Matriculado
Solteiro,Portuguesa,Não,Feminino,19,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Outras Situações,Outra Situação,Não,Não,Sim,Não,7.6,2.6,0.32,1,3,Zootecnia,Diurno,Educação secundária,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,Graduado
Solteiro,Portuguesa,Não,Feminino,27,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Não,9.4,-0.8,-3.12,39,1,Gestão (noturno),Noturno,Educação secundária,0,5,12,5,10.6,0,0,5,10,5,11.0,0,Desistente
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Secundária,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Vendas",Não,Não,Sim,Não,15.5,2.8,-4.06,1,1,Enfermagem,Diurno,Educação secundária,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,Graduado
Casado,Portuguesa,Não,Feminino,39,Não,Educação Secundária,Educação Superior - Bacharel,Funcionários Administrativos,Técnicos de Nível Intermediário e Profissões,Não,Não,Sim,Não,12.4,0.5,1.79,7,1,Turismo,Diurno,Educação superior - licenciatura,0,6,10,0,0.0,0,0,6,6,0,0.0,0,Desistente
Solteiro,Portuguesa,Sim,Feminino,27,Não,Educação Superior - Bacharel,Educação Superior - Bacharel,Especialistas em Atividades Intelectuais e Científicas,Especialistas em Atividades Intelectuais e Científicas,Não,Não,Sim,Não,12.4,0.5,1.79,39,1,Zootecnia,Diurno,Educação superior - licenciatura (1º ciclo),0,6,9,5,13.0,0,5,11,13,10,12.9,0,Desistente
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,"Trabalhadores Qualificados na Indústria, Construção e Artesãos",Profissões das Forças Armadas,Não,Não,Sim,Não,9.4,-0.8,-3.12,17,1,Enfermagem,Diurno,Educação secundária,0,8,8,8,14.935,0,0,8,8,8,14.935,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Funcionários Administrativos,Trabalhadores Não Qualificados,Não,Não,Sim,Não,7.6,2.6,0.32,1,3,Animação e Design Multimídia,Diurno,Educação secundária,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Matriculado
Solteiro,Portuguesa,Não,Feminino,18,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Não,16.2,0.3,-0.92,1,2,Enfermagem,Diurno,Educação secundária,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,Graduado
Solteiro,Portuguesa,Não,Feminino,21,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação Secundária,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Sim,13.9,-0.3,0.79,44,1,Serviço Social,Diurno,Curso de especialização tecnológica,3,6,7,6,12.0,0,2,6,7,6,12.0,0,Graduado
Solteiro,Portuguesa,Sim,Masculino,19,Não,Educação Secundária,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Funcionários Administrativos,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Sim,10.8,1.4,1.74,17,3,Animação e Design Multimídia,Diurno,Educação secundária,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Matriculado
Solteiro,Portuguesa,Sim,Masculino,19,Não,Educação Secundária,Educação Secundária,Técnicos de Nível Intermediário e Profissões Técnicas,Pessoal Administrativo,Não,Não,Sim,Não,10.8,1.4,1.74,17,1,Design de Comunicação,Diurno,Educação secundária,0,6,6,5,11.4,0,0,6,8,1,10.0,0,Matriculado
